,dataset,n_estimators,max_samples,ause,ece,accuracy,f1
60,white-wine,20,0.9,0.3244749617362833,0.04941914494189911,0.8123980424143556,0.4334975369458128
61,white-wine,20,0.8,0.33838327747538693,0.040866321557313866,0.802610114192496,0.39195979899497485
62,white-wine,20,1.0,0.32008001093256677,0.0525266328437602,0.8058727569331158,0.4195121951219512
63,white-wine,5,0.9,0.38406635583725546,0.03615907024978561,0.8254486133768353,0.5407725321888411
64,white-wine,5,0.8,0.3418791509950391,0.03878837177859939,0.8221859706362153,0.5321888412017167
65,white-wine,5,1.0,0.39968619491664936,0.0326491774523178,0.8205546492659054,0.5338983050847458
66,white-wine,10,0.9,0.2486692533164917,0.03436590851105566,0.8270799347471451,0.543103448275862
67,white-wine,10,0.8,0.2584838781699778,0.035522507059249586,0.8238172920065253,0.5344827586206896
68,white-wine,10,1.0,0.3371378402840584,0.037943662505217385,0.8270799347471451,0.5546218487394957
69,white-wine,20,0.9,0.30321355634828523,0.03154330714529967,0.8221859706362153,0.5281385281385281
70,white-wine,20,0.8,0.3278299444024723,0.029183357858518427,0.8270799347471451,0.5508474576271186
71,white-wine,20,1.0,0.31146753673662386,0.05079998323914811,0.8254486133768353,0.5407725321888411
