,dataset,kernel,induction_method,loss,ause,ece,accuracy,f1
36,ionosphere,linear,kmeans,trace_meanfield_elbo,0.13508628856659555,0.09954395789351894,0.8409090909090909,0.888888888888889
37,ionosphere,linear,kmeans,trace_meanfield_elbo,0.15454948208612723,0.1331232650922494,0.8181818181818182,0.8750000000000001
38,ionosphere,linear,random,trace_meanfield_elbo,0.09620985454375969,0.11298338779660622,0.75,0.835820895522388
39,ionosphere,linear,random,trace_meanfield_elbo,0.17038843822434044,0.0560511973735153,0.8636363636363636,0.8999999999999999
40,ionosphere,poly,kmeans,trace_elbo,0.10828882338749365,0.05862016131357794,0.8181818181818182,0.8750000000000001
41,ionosphere,poly,kmeans,trace_elbo,0.028991146279192696,0.07797350678154419,0.8863636363636364,0.9180327868852458
42,ionosphere,poly,random,trace_elbo,0.1713408935389817,0.15249073936562518,0.8863636363636364,0.912280701754386
43,ionosphere,poly,random,trace_elbo,0.08996962811502417,0.12717264934175967,0.9318181818181818,0.9491525423728813
44,ionosphere,poly,kmeans,trace_meanfield_elbo,0.08199412655605551,0.05046907342850442,0.7954545454545454,0.8571428571428572
45,ionosphere,poly,kmeans,trace_meanfield_elbo,0.12266645385734642,0.05827847274785136,0.8181818181818182,0.8666666666666666
46,ionosphere,poly,random,trace_meanfield_elbo,0.09270738531601258,0.07284642049893954,0.7954545454545454,0.8571428571428572
47,ionosphere,poly,random,trace_meanfield_elbo,0.1312917013757442,0.14944739946404909,0.9318181818181818,0.9473684210526316
48,red-wine,rbf,kmeans,trace_elbo,0.2557208511116324,0.01732952548978958,0.63,0.6864406779661016
49,red-wine,rbf,kmeans,trace_elbo,0.29889822396449717,0.05686843327601804,0.69,0.7372881355932203
50,red-wine,rbf,random,trace_elbo,0.11175243490234073,0.07184096838365132,0.63,0.6837606837606838
51,red-wine,rbf,random,trace_elbo,0.28154343395122994,0.0521214393039008,0.69,0.7479674796747967
52,red-wine,rbf,kmeans,trace_meanfield_elbo,0.29864419075235726,0.06831787631103664,0.64,0.6842105263157894
53,red-wine,rbf,kmeans,trace_meanfield_elbo,0.3875888939081115,0.03604734469908681,0.72,0.752212389380531
54,red-wine,rbf,random,trace_meanfield_elbo,0.25583860048017515,0.05513134024041906,0.655,0.7160493827160493
55,red-wine,rbf,random,trace_meanfield_elbo,0.2742572279448399,0.05751768897314965,0.67,0.7155172413793103
